"id"	"setid"	"longft"	"shortft"	"row"	"col"	"block"	"dbh"	"year"	"site"	"name"	"plot"	"ibap"	"iba"	"ibamai"	"batot"	"ht"	"stms"	"canker"	"nline"	"neline"	"eline"	"seline"	"sline"	"swline"	"wline"	"nwline"	"lineindex"	"areaindex"	"sname2"	"ndbh"	"nedbh"	"edbh"	"sedbh"	"sdbh"	"swdbh"	"wdbh"	"nwdbh"	"sname3"	"dbhc"	"dbha"	"dbhr"	"sdbhr1d"	"sdbhr2d"	"bar"	"sbar"
"980"	980	6	9	9	14	11	"4"	2.2	"2010"	"U07m"	"NM6"	"54"	28	0.014	0.004	0.026	NA	NA	NA	3.9	6.8	2.9	4.6	3.5	12.7	9	7	50.37	114.61	"NM6"	23	10	41	33	29	NA	NA	9	"NM6"	6	2.34	0.94	8.5	4.8	0.6	13.39
"981"	981	6	9	9	15	11	"4"	3.5	"2010"	"U07m"	"NM6"	"54"	142	0.021	0.011	0.067	NA	NA	NA	5.5	5.4	4.3	6.4	4.1	9.3	9	12.7	56.68	145.9	"NM6"	16	41	33	29	36	4	NA	NA	"NM6"	6	2.48	1.41	5.66	7.76	1.33	6.02
"982"	982	6	9	9	16	11	"4"	4.2	"2010"	"U07m"	"NM6"	"54"	149	0.033	0.016	0.096	NA	NA	NA	4.9	6.6	4.9	6.7	3.9	5.3	6.9	12.7	51.85	116.72	"NM6"	29	33	29	32	50	53	4	NA	"NM6"	7	3.44	1.22	6.55	9.27	1.16	6.92
"983"	983	6	9	9	17	11	"5"	5.6	"2010"	"U07m"	"NM6"	"55"	144	0.056	0.029	0.171	NA	NA	NA	5.1	7.8	5.4	6.7	4.8	12.7	4.4	10.3	57.3	129.36	"NM6"	36	29	32	44	43	NA	53	4	"NM6"	7	3.57	1.57	5.11	11.93	1.93	4.14
"984"	984	6	9	9	18	11	"5"	4.9	"2010"	"U07m"	"NM6"	"55"	138	0.039	0.022	0.131	NA	NA	NA	4.2	7.2	4.5	6.1	4.5	7.2	9	5.8	48.34	102.24	"NM6"	50	32	44	47	44	32	NA	53	"NM6"	7	4.3	1.14	7.02	7.17	1.11	7.21
"985"	985	6	9	9	19	11	"5"	5	"2010"	"U07m"	"NM6"	"55"	17	0.07	0.023	0.136	NA	NA	NA	4.5	6.4	4.4	6.8	5.2	8.5	5.1	12.7	53.61	117.54	"NM6"	43	44	47	38	30	19	32	NA	"NM6"	7	3.69	1.36	5.9	8.8	1.54	5.2
"986"	986	6	9	9	20	11	"5"	3.6	"2010"	"U07m"	"NM6"	"55"	195	0.034	0.012	0.071	NA	NA	NA	3.8	5.1	4	5.1	4.4	11.5	5.3	6.2	45.39	88.52	"NM6"	44	47	38	48	32	95	19	32	"NM6"	8	3.83	0.94	8.5	15.22	0.76	10.56
"1004"	1004	6	9	9	17	12	"6"	3.8	"2010"	"U07m"	"NM6"	"56"	13	0.039	0.013	0.079	NA	NA	NA	4.7	12.7	9	12.7	3.9	5.6	3.6	6	58.27	152.15	"NM6"	29	NA	NA	NA	44	43	50	36	"NM6"	5	2.9	1.31	6.11	4.2	1.05	7.64
"1005"	1005	6	9	9	18	12	"6"	5	"2010"	"U07m"	"NM6"	"56"	167	0.053	0.022	0.134	NA	NA	NA	5.1	12.7	9	12.7	4.4	6.4	4.5	6	60.85	164.23	"NM6"	32	NA	NA	NA	47	44	43	50	"NM6"	5	3.08	1.63	4.92	5.17	1.63	4.92
"1006"	1006	6	9	9	19	12	"6"	5.3	"2010"	"U07m"	"NM6"	"56"	150	0.052	0.026	0.153	NA	NA	NA	4.6	12.7	9	12.7	4.9	7.6	4.6	6.6	62.83	171.21	"NM6"	44	NA	NA	NA	38	30	44	43	"NM6"	5	2.86	1.85	4.32	5.88	2.11	3.79
